      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0000028	ribosomal small subunit assembly
      1 GO:0000054	ribosomal subunit export from nucleus
      1 GO:0000055	ribosomal large subunit export from nucleus
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000070	mitotic sister chromatid segregation
      1 GO:0000075	cell cycle checkpoint
      1 GO:0000086	G2/M transition of mitotic cell cycle
      1 GO:0000096	sulfur amino acid metabolic process
      1 GO:0000098	sulfur amino acid catabolic process
      1 GO:0000099	sulfur amino acid transmembrane transporter activity
      1 GO:0000101	sulfur amino acid transport
      1 GO:0000123	histone acetyltransferase complex
      1 GO:0000128	flocculation
      1 GO:0000138	Golgi trans cisterna
      1 GO:0000153	cytoplasmic ubiquitin ligase complex
      1 GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
      1 GO:0000209	protein polyubiquitination
      1 GO:0000212	meiotic spindle organization
      1 GO:0000226	microtubule cytoskeleton organization
      1 GO:0000229	cytoplasmic chromosome
      1 GO:0000242	pericentriolar material
      1 GO:0000266	mitochondrial fission
      1 GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
      1 GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
      1 GO:0000303	response to superoxide
      1 GO:0000307	cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000325	plant-type vacuole
      1 GO:0000375	RNA splicing, via transesterification reactions
      1 GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
      1 GO:0000398	mRNA splicing, via spliceosome
      1 GO:0000502	proteasome complex
      1 GO:0000722	telomere maintenance via recombination
      1 GO:0000731	DNA synthesis involved in DNA repair
      1 GO:0000777	condensed chromosome kinetochore
      1 GO:0000778	condensed nuclear chromosome kinetochore
      1 GO:0000779	condensed chromosome, centromeric region
      1 GO:0000780	condensed nuclear chromosome, centromeric region
      1 GO:0000781	chromosome, telomeric region
      1 GO:0000793	condensed chromosome
      1 GO:0000794	condensed nuclear chromosome
      1 GO:0000796	condensin complex
      1 GO:0000797	condensin core heterodimer
      1 GO:0000799	nuclear condensin complex
      1 GO:0000812	Swr1 complex
      1 GO:0000819	sister chromatid segregation
      1 GO:0000835	ER ubiquitin ligase complex
      1 GO:0000836	Hrd1p ubiquitin ligase complex
      1 GO:0000837	Doa10p ubiquitin ligase complex
      1 GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
      1 GO:0000916	actomyosin contractile ring contraction
      1 GO:0000922	spindle pole
      1 GO:0000932	P-body
      1 GO:0000959	mitochondrial RNA metabolic process
      1 GO:0000963	mitochondrial RNA processing
      1 GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
      1 GO:0001046	core promoter sequence-specific DNA binding
      1 GO:0001085	RNA polymerase II transcription factor binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001501	skeletal system development
      1 GO:0001505	regulation of neurotransmitter levels
      1 GO:0001650	fibrillar center
      1 GO:0001654	eye development
      1 GO:0001666	response to hypoxia
      1 GO:0001669	acrosomal vesicle
      1 GO:0001675	acrosome assembly
      1 GO:0001704	formation of primary germ layer
      1 GO:0001707	mesoderm formation
      1 GO:0001726	ruffle
      1 GO:0001817	regulation of cytokine production
      1 GO:0001818	negative regulation of cytokine production
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001882	nucleoside binding
      1 GO:0001883	purine nucleoside binding
      1 GO:0001887	selenium compound metabolic process
      1 GO:0001890	placenta development
      1 GO:0001891	phagocytic cup
      1 GO:0001894	tissue homeostasis
      1 GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure
      1 GO:0002052	positive regulation of neuroblast proliferation
      1 GO:0002064	epithelial cell development
      1 GO:0002065	columnar/cuboidal epithelial cell differentiation
      1 GO:0002066	columnar/cuboidal epithelial cell development
      1 GO:0002181	cytoplasmic translation
      1 GO:0002199	zona pellucida receptor complex
      1 GO:0002237	response to molecule of bacterial origin
      1 GO:0002683	negative regulation of immune system process
      1 GO:0002697	regulation of immune effector process
      1 GO:0002698	negative regulation of immune effector process
      1 GO:0002831	regulation of response to biotic stimulus
      1 GO:0002832	negative regulation of response to biotic stimulus
      1 GO:0003002	regionalization
      1 GO:0003007	heart morphogenesis
      1 GO:0003012	muscle system process
      1 GO:0003013	circulatory system process
      1 GO:0003018	vascular process in circulatory system
      1 GO:0003032	detection of oxygen
      1 GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
      1 GO:0003068	regulation of systemic arterial blood pressure by acetylcholine
      1 GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
      1 GO:0003070	regulation of systemic arterial blood pressure by neurotransmitter
      1 GO:0003073	regulation of systemic arterial blood pressure
      1 GO:0003085	negative regulation of systemic arterial blood pressure
      1 GO:0003299	muscle hypertrophy in response to stress
      1 GO:0003300	cardiac muscle hypertrophy
      1 GO:0003341	cilium movement
      1 GO:0003351	epithelial cilium movement involved in extracellular fluid movement
      1 GO:0003373	dynamin family protein polymerization involved in membrane fission
      1 GO:0003374	dynamin family protein polymerization involved in mitochondrial fission
      1 GO:0003713	transcription coactivator activity
      1 GO:0003735	structural constituent of ribosome
      1 GO:0003743	translation initiation factor activity
      1 GO:0003756	protein disulfide isomerase activity
      1 GO:0003924	GTPase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004016	adenylate cyclase activity
      1 GO:0004084	branched-chain-amino-acid transaminase activity
      1 GO:0004152	dihydroorotate dehydrogenase activity
      1 GO:0004180	carboxypeptidase activity
      1 GO:0004181	metallocarboxypeptidase activity
      1 GO:0004222	metalloendopeptidase activity
      1 GO:0004252	serine-type endopeptidase activity
      1 GO:0004324	ferredoxin-NADP+ reductase activity
      1 GO:0004334	fumarylacetoacetase activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004620	phospholipase activity
      1 GO:0004675	transmembrane receptor protein serine/threonine kinase activity
      1 GO:0004693	cyclin-dependent protein serine/threonine kinase activity
      1 GO:0004784	superoxide dismutase activity
      1 GO:0004791	thioredoxin-disulfide reductase activity
      1 GO:0004792	thiosulfate sulfurtransferase activity
      1 GO:0004806	triglyceride lipase activity
      1 GO:0004857	enzyme inhibitor activity
      1 GO:0004888	transmembrane signaling receptor activity
      1 GO:0005198	structural molecule activity
      1 GO:0005287	high-affinity basic amino acid transmembrane transporter activity
      1 GO:0005289	high-affinity arginine transmembrane transporter activity
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005292	high-affinity lysine transmembrane transporter activity
      1 GO:0005484	SNAP receptor activity
      1 GO:0005496	steroid binding
      1 GO:0005522	profilin binding
      1 GO:0005525	GTP binding
      1 GO:0005615	extracellular space
      1 GO:0005681	spliceosomal complex
      1 GO:0005688	U6 snRNP
      1 GO:0005697	telomerase holoenzyme complex
      1 GO:0005720	nuclear heterochromatin
      1 GO:0005741	mitochondrial outer membrane
      1 GO:0005758	mitochondrial intermembrane space
      1 GO:0005764	lysosome
      1 GO:0005765	lysosomal membrane
      1 GO:0005770	late endosome
      1 GO:0005777	peroxisome
      1 GO:0005778	peroxisomal membrane
      1 GO:0005779	integral component of peroxisomal membrane
      1 GO:0005791	rough endoplasmic reticulum
      1 GO:0005797	Golgi medial cisterna
      1 GO:0005798	Golgi-associated vesicle
      1 GO:0005801	cis-Golgi network
      1 GO:0005819	spindle
      1 GO:0005832	chaperonin-containing T-complex
      1 GO:0005840	ribosome
      1 GO:0005844	polysome
      1 GO:0005875	microtubule associated complex
      1 GO:0005887	integral component of plasma membrane
      1 GO:0005911	cell-cell junction
      1 GO:0005940	septin ring
      1 GO:0005975	carbohydrate metabolic process
      1 GO:0006163	purine nucleotide metabolic process
      1 GO:0006164	purine nucleotide biosynthetic process
      1 GO:0006171	cAMP biosynthetic process
      1 GO:0006206	pyrimidine nucleobase metabolic process
      1 GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
      1 GO:0006213	pyrimidine nucleoside metabolic process
      1 GO:0006220	pyrimidine nucleotide metabolic process
      1 GO:0006221	pyrimidine nucleotide biosynthetic process
      1 GO:0006261	DNA-dependent DNA replication
      1 GO:0006275	regulation of DNA replication
      1 GO:0006301	postreplication repair
      1 GO:0006304	DNA modification
      1 GO:0006305	DNA alkylation
      1 GO:0006306	DNA methylation
      1 GO:0006310	DNA recombination
      1 GO:0006312	mitotic recombination
      1 GO:0006334	nucleosome assembly
      1 GO:0006336	DNA replication-independent nucleosome assembly
      1 GO:0006337	nucleosome disassembly
      1 GO:0006348	chromatin silencing at telomere
      1 GO:0006356	regulation of transcription by RNA polymerase I
      1 GO:0006397	mRNA processing
      1 GO:0006405	RNA export from nucleus
      1 GO:0006417	regulation of translation
      1 GO:0006457	protein folding
      1 GO:0006458	'de novo' protein folding
      1 GO:0006473	protein acetylation
      1 GO:0006475	internal protein amino acid acetylation
      1 GO:0006513	protein monoubiquitination
      1 GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
      1 GO:0006525	arginine metabolic process
      1 GO:0006526	arginine biosynthetic process
      1 GO:0006549	isoleucine metabolic process
      1 GO:0006550	isoleucine catabolic process
      1 GO:0006551	leucine metabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006572	tyrosine catabolic process
      1 GO:0006573	valine metabolic process
      1 GO:0006606	protein import into nucleus
      1 GO:0006611	protein export from nucleus
      1 GO:0006612	protein targeting to membrane
      1 GO:0006613	cotranslational protein targeting to membrane
      1 GO:0006614	SRP-dependent cotranslational protein targeting to membrane
      1 GO:0006625	protein targeting to peroxisome
      1 GO:0006631	fatty acid metabolic process
      1 GO:0006635	fatty acid beta-oxidation
      1 GO:0006655	phosphatidylglycerol biosynthetic process
      1 GO:0006661	phosphatidylinositol biosynthetic process
      1 GO:0006723	cuticle hydrocarbon biosynthetic process
      1 GO:0006739	NADP metabolic process
      1 GO:0006743	ubiquinone metabolic process
      1 GO:0006744	ubiquinone biosynthetic process
      1 GO:0006766	vitamin metabolic process
      1 GO:0006767	water-soluble vitamin metabolic process
      1 GO:0006768	biotin metabolic process
      1 GO:0006812	cation transport
      1 GO:0006839	mitochondrial transport
      1 GO:0006844	acyl carnitine transport
      1 GO:0006875	cellular metal ion homeostasis
      1 GO:0006879	cellular iron ion homeostasis
      1 GO:0006885	regulation of pH
      1 GO:0006887	exocytosis
      1 GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
      1 GO:0006892	post-Golgi vesicle-mediated transport
      1 GO:0006896	Golgi to vacuole transport
      1 GO:0006903	vesicle targeting
      1 GO:0006904	vesicle docking involved in exocytosis
      1 GO:0006906	vesicle fusion
      1 GO:0006907	pinocytosis
      1 GO:0006909	phagocytosis
      1 GO:0006915	apoptotic process
      1 GO:0006972	hyperosmotic response
      1 GO:0006984	ER-nucleus signaling pathway
      1 GO:0006991	response to sterol depletion
      1 GO:0007006	mitochondrial membrane organization
      1 GO:0007030	Golgi organization
      1 GO:0007031	peroxisome organization
      1 GO:0007040	lysosome organization
      1 GO:0007051	spindle organization
      1 GO:0007059	chromosome segregation
      1 GO:0007076	mitotic chromosome condensation
      1 GO:0007088	regulation of mitotic nuclear division
      1 GO:0007093	mitotic cell cycle checkpoint
      1 GO:0007096	regulation of exit from mitosis
      1 GO:0007110	meiosis I cytokinesis
      1 GO:0007111	meiosis II cytokinesis
      1 GO:0007112	male meiosis cytokinesis
      1 GO:0007114	cell budding
      1 GO:0007117	budding cell bud growth
      1 GO:0007127	meiosis I
      1 GO:0007129	homologous chromosome pairing at meiosis
      1 GO:0007130	synaptonemal complex assembly
      1 GO:0007140	male meiotic nuclear division
      1 GO:0007167	enzyme linked receptor protein signaling pathway
      1 GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
      1 GO:0007267	cell-cell signaling
      1 GO:0007290	spermatid nucleus elongation
      1 GO:0007292	female gamete generation
      1 GO:0007339	binding of sperm to zona pellucida
      1 GO:0007369	gastrulation
      1 GO:0007389	pattern specification process
      1 GO:0007398	ectoderm development
      1 GO:0007416	synapse assembly
      1 GO:0007423	sensory organ development
      1 GO:0007439	ectodermal digestive tract development
      1 GO:0007498	mesoderm development
      1 GO:0007565	female pregnancy
      1 GO:0007568	aging
      1 GO:0007571	age-dependent general metabolic decline
      1 GO:0007611	learning or memory
      1 GO:0007613	memory
      1 GO:0007617	mating behavior
      1 GO:0007618	mating
      1 GO:0007619	courtship behavior
      1 GO:0007626	locomotory behavior
      1 GO:0008015	blood circulation
      1 GO:0008021	synaptic vesicle
      1 GO:0008022	protein C-terminus binding
      1 GO:0008028	monocarboxylic acid transmembrane transporter activity
      1 GO:0008037	cell recognition
      1 GO:0008047	enzyme activator activity
      1 GO:0008049	male courtship behavior
      1 GO:0008088	axo-dendritic transport
