%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0044403	symbiosis,_encompassing_mutualism_through_parasitism	1.784%	 2.109	-2.816	5.948	-3.3872	0.832	0.000	GO:0044403	0
Biological_Process	GO:0071705	nitrogen_compound_transport	2.072%	-4.888	-3.921	6.013	-3.3372	0.890	0.000	GO:0071705	0
Biological_Process	GO:0045184	establishment_of_protein_localization	1.680%	-4.790	-4.391	5.922	-3.2924	0.817	0.362	GO:0045184	0
Biological_Process	GO:0015833	peptide_transport	0.308%	-5.431	-4.327	5.186	-3.2518	0.833	0.299	GO:0015833	0
Biological_Process	GO:0072657	protein_localization_to_membrane	0.236%	null	null	5.070	-3.2291	0.713	0.788	GO:0045184	1
Biological_Process	GO:0045840	positive_regulation_of_mitosis	0.002%	 3.845	-5.448	3.041	-3.2007	0.666	0.000	GO:0045840	0
Biological_Process	GO:0042886	amide_transport	0.351%	-5.608	-4.264	5.242	-3.1487	0.851	0.664	GO:0042886	0
Biological_Process	GO:0072594	establishment_of_protein_localization_to_organelle	0.153%	null	null	4.882	-2.9788	0.814	0.794	GO:0045184	1
Biological_Process	GO:0015031	protein_transport	1.595%	null	null	5.900	-2.9706	0.806	0.972	GO:0045184	1
Biological_Process	GO:0006612	protein_targeting_to_membrane	0.109%	null	null	4.733	-2.9586	0.714	0.902	GO:0045184	1
Biological_Process	GO:0000291	nuclear-transcribed_mRNA_catabolic_process,_exonucleolytic	0.001%	 1.289	 6.809	2.734	-2.9508	0.823	0.514	GO:0000291	0
Biological_Process	GO:0061077	chaperone-mediated_protein_folding	0.109%	 0.205	 3.726	4.735	-2.9508	0.897	0.016	GO:0061077	0
Biological_Process	GO:0006402	mRNA_catabolic_process	0.113%	null	null	4.752	-2.9431	0.799	0.702	GO:0006401	1
Biological_Process	GO:0006605	protein_targeting	0.380%	null	null	5.277	-2.9172	0.769	0.856	GO:0045184	1
Biological_Process	GO:0045842	positive_regulation_of_mitotic_metaphase/anaphase_transition	0.001%	null	null	2.403	-2.8761	0.680	0.899	GO:0045840	1
Biological_Process	GO:1901970	positive_regulation_of_mitotic_sister_chromatid_separation	0.001%	null	null	2.405	-2.8761	0.688	0.793	GO:0045840	1
Biological_Process	GO:0006352	DNA-templated_transcription,_initiation	0.463%	 1.673	 6.015	5.362	-2.8729	0.862	0.147	GO:0006352	0
Biological_Process	GO:0006401	RNA_catabolic_process	0.274%	 1.392	 7.331	5.135	-2.8539	0.812	0.304	GO:0006401	0
Biological_Process	GO:0016071	mRNA_metabolic_process	0.494%	 0.870	 6.361	5.391	-2.8447	0.882	0.321	GO:0016071	0
Biological_Process	GO:0002833	positive_regulation_of_response_to_biotic_stimulus	0.003%	 6.988	-4.118	3.186	-2.8416	0.750	0.469	GO:0002833	0
Biological_Process	GO:0006620	posttranslational_protein_targeting_to_membrane	0.002%	-5.332	-3.863	3.048	-2.8386	0.762	0.540	GO:0006620	0
Biological_Process	GO:0051785	positive_regulation_of_nuclear_division	0.003%	null	null	3.225	-2.7825	0.696	0.827	GO:0045840	1
Biological_Process	GO:0051084	'de_novo'_posttranslational_protein_folding	0.013%	-0.291	 3.693	3.825	-2.7721	0.905	0.599	GO:0051084	0
Biological_Process	GO:0071702	organic_substance_transport	5.487%	-4.987	-4.016	6.436	-2.7471	0.879	0.619	GO:0071702	0
Biological_Process	GO:0072599	establishment_of_protein_localization_to_endoplasmic_reticulum	0.099%	null	null	4.692	-2.7399	0.818	0.993	GO:0045184	1
Biological_Process	GO:0016246	RNA_interference	0.005%	 6.689	-1.451	3.357	-2.7375	0.761	0.194	GO:0016246	0
Biological_Process	GO:0043433	negative_regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.008%	 5.965	 2.150	3.580	-2.7375	0.770	0.295	GO:0043433	0
Biological_Process	GO:0034427	nuclear-transcribed_mRNA_catabolic_process,_exonucleolytic,_3'-5'	0.000%	null	null	2.396	-2.7122	0.827	0.756	GO:0000291	1
Biological_Process	GO:0034661	ncRNA_catabolic_process	0.043%	null	null	4.328	-2.7122	0.811	0.809	GO:0006401	1
Biological_Process	GO:0044419	interspecies_interaction_between_organisms	1.784%	null	null	5.948	-2.7033	0.845	0.866	GO:0044403	1
Biological_Process	GO:0000041	transition_metal_ion_transport	0.365%	-5.323	-4.000	5.259	-2.6968	0.858	0.318	GO:0000041	0
Biological_Process	GO:0051817	modification_of_morphology_or_physiology_of_other_organism_involved_in_symbiotic_interaction	0.539%	null	null	5.428	-2.6968	0.700	0.855	GO:0044403	1
Biological_Process	GO:1902101	positive_regulation_of_metaphase/anaphase_transition_of_cell_cycle	0.001%	null	null	2.412	-2.6402	0.684	0.793	GO:0045840	1
Biological_Process	GO:0090150	establishment_of_protein_localization_to_membrane	0.232%	null	null	5.061	-2.6364	0.713	0.958	GO:0045184	1
Biological_Process	GO:0032720	negative_regulation_of_tumor_necrosis_factor_production	0.002%	 5.166	-3.465	2.979	-2.6180	0.798	0.416	GO:0032720	0
