%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0000350	generation_of_catalytic_spliceosome_for_second_transesterification_step	0.000%	 4.729	-1.282	1.114	-3.4685	0.889	0.539	GO:0000350	0
Biological_Process	GO:0000393	spliceosomal_conformational_changes_to_generate_catalytic_conformation	0.000%	 4.450	-1.438	1.580	-3.2757	0.884	0.000	GO:0000393	0
Biological_Process	GO:0006047	UDP-N-acetylglucosamine_metabolic_process	0.078%	 0.819	-4.707	4.588	-2.9208	0.855	0.080	GO:0006047	0
Biological_Process	GO:0007179	transforming_growth_factor_beta_receptor_signaling_pathway	0.011%	-7.252	 1.547	3.733	-2.8477	0.650	0.334	GO:0007179	0
Biological_Process	GO:0018108	peptidyl-tyrosine_phosphorylation	0.050%	 0.711	-6.449	4.399	-2.8386	0.790	0.650	GO:0018108	0
Biological_Process	GO:0018212	peptidyl-tyrosine_modification	0.072%	 1.883	-7.458	4.552	-2.8386	0.821	0.084	GO:0018212	0
Biological_Process	GO:0090287	regulation_of_cellular_response_to_growth_factor_stimulus	0.010%	null	null	3.688	-2.7100	0.676	0.882	GO:0007179	1
Biological_Process	GO:0002283	neutrophil_activation_involved_in_immune_response	0.001%	null	null	2.604	-2.6091	0.775	0.929	GO:0042119	1
Biological_Process	GO:0002446	neutrophil_mediated_immunity	0.001%	-1.659	-0.069	2.840	-2.6091	0.924	0.669	GO:0002446	0
Biological_Process	GO:0036230	granulocyte_activation	0.004%	null	null	3.273	-2.6091	0.858	0.897	GO:0042119	1
Biological_Process	GO:0042119	neutrophil_activation	0.004%	-1.287	-0.188	3.267	-2.6091	0.857	0.012	GO:0042119	0
Biological_Process	GO:0043312	neutrophil_degranulation	0.001%	null	null	2.549	-2.6091	0.701	0.924	GO:0042119	1
Biological_Process	GO:0042221	response_to_chemical	1.603%	-7.351	-1.792	5.902	-2.5935	0.812	0.000	GO:0042221	0
Biological_Process	GO:0043299	leukocyte_degranulation	0.002%	 2.708	 6.469	3.087	-2.5114	0.799	0.597	GO:0043299	0
Biological_Process	GO:0070534	protein_K63-linked_ubiquitination	0.002%	 1.998	-6.760	2.997	-2.5017	0.860	0.381	GO:0070534	0
Biological_Process	GO:0019538	protein_metabolic_process	12.328%	 0.684	-6.272	6.788	-2.4647	0.903	0.161	GO:0019538	0
Biological_Process	GO:0035329	hippo_signaling	0.003%	-7.184	 1.815	3.155	-2.4365	0.752	0.303	GO:0035329	0
Biological_Process	GO:0035330	regulation_of_hippo_signaling	0.001%	-7.208	 1.563	2.481	-2.4365	0.727	0.312	GO:0035330	0
Biological_Process	GO:0035331	negative_regulation_of_hippo_signaling	0.000%	null	null	2.270	-2.4365	0.707	0.853	GO:0035330	1
Biological_Process	GO:0046037	GMP_metabolic_process	0.082%	 1.082	-4.626	4.609	-2.4365	0.856	0.293	GO:0046037	0
Biological_Process	GO:0046710	GDP_metabolic_process	0.000%	 0.849	-3.113	1.681	-2.4365	0.895	0.410	GO:0046710	0
Biological_Process	GO:1901264	carbohydrate_derivative_transport	0.233%	 3.146	 5.921	5.063	-2.4365	0.898	0.035	GO:1901264	0
Biological_Process	GO:0006887	exocytosis	0.034%	 3.029	 6.059	4.231	-2.4330	0.843	0.258	GO:0006887	0
Biological_Process	GO:0021953	central_nervous_system_neuron_differentiation	0.012%	 1.994	 3.239	3.766	-2.4134	0.782	0.052	GO:0021953	0
Biological_Process	GO:0010033	response_to_organic_substance	0.287%	-8.354	-1.871	5.155	-2.3947	0.792	0.543	GO:0010033	0
Biological_Process	GO:0002275	myeloid_cell_activation_involved_in_immune_response	0.003%	null	null	3.159	-2.3851	0.764	0.886	GO:0042119	1
Biological_Process	GO:0002444	myeloid_leukocyte_mediated_immunity	0.003%	-1.699	-0.058	3.186	-2.3851	0.924	0.490	GO:0002444	0
Biological_Process	GO:0006914	autophagy	0.099%	 3.937	-5.160	4.690	-2.3382	0.905	0.027	GO:0006914	0
Biological_Process	GO:0044257	cellular_protein_catabolic_process	0.220%	null	null	5.039	-2.3072	0.786	0.916	GO:0051603	1
Biological_Process	GO:0051603	proteolysis_involved_in_cellular_protein_catabolic_process	0.218%	 2.194	-6.605	5.036	-2.2848	0.783	0.357	GO:0051603	0
Biological_Process	GO:0002274	myeloid_leukocyte_activation	0.011%	null	null	3.724	-2.2798	0.856	0.807	GO:0042119	1
Biological_Process	GO:0061097	regulation_of_protein_tyrosine_kinase_activity	0.004%	null	null	3.271	-2.1649	0.708	0.814	GO:0018108	1
Biological_Process	GO:0043038	amino_acid_activation	0.987%	 2.702	-3.095	5.691	-2.1524	0.867	0.555	GO:0043038	0
Biological_Process	GO:0043039	tRNA_aminoacylation	0.987%	null	null	5.691	-2.1524	0.811	0.988	GO:0006418	1
Biological_Process	GO:0043405	regulation_of_MAP_kinase_activity	0.018%	-5.352	-2.114	3.952	-2.1524	0.561	0.568	GO:0043405	0
Biological_Process	GO:0009266	response_to_temperature_stimulus	0.147%	-7.750	-1.771	4.863	-2.0915	0.816	0.415	GO:0009266	0
Biological_Process	GO:0050730	regulation_of_peptidyl-tyrosine_phosphorylation	0.012%	null	null	3.781	-2.0620	0.704	0.871	GO:0018108	1
Biological_Process	GO:0043161	proteasome-mediated_ubiquitin-dependent_protein_catabolic_process	0.021%	null	null	4.026	-2.0453	0.810	0.838	GO:0051603	1
Biological_Process	GO:0043171	peptide_catabolic_process	0.001%	 2.534	-3.978	2.649	-2.0376	0.906	0.251	GO:0043171	0
Biological_Process	GO:0050732	negative_regulation_of_peptidyl-tyrosine_phosphorylation	0.002%	null	null	3.027	-2.0376	0.690	0.861	GO:0018108	1
Biological_Process	GO:0017015	regulation_of_transforming_growth_factor_beta_receptor_signaling_pathway	0.005%	null	null	3.406	-2.0339	0.640	0.945	GO:0007179	1
Biological_Process	GO:0006418	tRNA_aminoacylation_for_protein_translation	0.967%	 2.108	-6.395	5.682	-2.0101	0.752	0.412	GO:0006418	0
Biological_Process	GO:0044267	cellular_protein_metabolic_process	8.784%	 0.977	-6.614	6.640	-2.0048	0.820	0.641	GO:0044267	0
Biological_Process	GO:0040013	negative_regulation_of_locomotion	0.012%	-4.128	 4.921	3.764	-1.9578	0.832	0.000	GO:0040013	0
Biological_Process	GO:0019941	modification-dependent_protein_catabolic_process	0.135%	null	null	4.826	-1.9397	0.788	0.983	GO:0051603	1
Biological_Process	GO:0043632	modification-dependent_macromolecule_catabolic_process	0.135%	 2.213	-5.753	4.828	-1.9352	0.843	0.699	GO:0043632	0
Biological_Process	GO:0007176	regulation_of_epidermal_growth_factor-activated_receptor_activity	0.002%	null	null	2.888	-1.9219	0.586	0.848	GO:0018108	1
Biological_Process	GO:1902041	regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	0.003%	null	null	3.125	-1.9219	0.697	0.858	GO:0008625	1
Biological_Process	GO:1902042	negative_regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	0.001%	null	null	2.839	-1.9219	0.679	0.924	GO:0008625	1
Biological_Process	GO:0006508	proteolysis	3.705%	 1.710	-7.303	6.266	-1.8918	0.853	0.463	GO:0006508	0
Biological_Process	GO:0030163	protein_catabolic_process	0.359%	 2.413	-6.419	5.251	-1.8918	0.820	0.687	GO:0030163	0
Biological_Process	GO:0006040	amino_sugar_metabolic_process	0.387%	 1.921	-2.332	5.285	-1.8874	0.949	0.300	GO:0006040	0
Biological_Process	GO:0090092	regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	0.012%	null	null	3.760	-1.8864	0.681	0.920	GO:0007179	1
Biological_Process	GO:1902969	mitotic_cell_cycle_DNA_replication	0.000%	null	null	1.643	-1.8752	0.858	0.941	GO:1903463	1
Biological_Process	GO:0006511	ubiquitin-dependent_protein_catabolic_process	0.111%	null	null	4.741	-1.8617	0.791	0.944	GO:0051603	1
Biological_Process	GO:0002443	leukocyte_mediated_immunity	0.073%	-1.789	-0.052	4.560	-1.8480	0.917	0.624	GO:0002443	0
Biological_Process	GO:0044265	cellular_macromolecule_catabolic_process	1.109%	null	null	5.742	-1.8480	0.823	0.798	GO:0030163	1
Biological_Process	GO:0033674	positive_regulation_of_kinase_activity	0.028%	null	null	4.142	-1.8456	0.754	0.989	GO:0043405	1
Biological_Process	GO:0007175	negative_regulation_of_epidermal_growth_factor-activated_receptor_activity	0.000%	null	null	2.384	-1.8324	0.585	0.906	GO:0018108	1
Biological_Process	GO:0031150	sorocarp_stalk_development	0.000%	-6.174	-0.407	1.531	-1.8324	0.722	0.483	GO:0031150	0
Biological_Process	GO:0044058	regulation_of_digestive_system_process	0.001%	-2.603	 5.118	2.785	-1.8324	0.776	0.475	GO:0044058	0
Biological_Process	GO:0044381	glucose_import_in_response_to_insulin_stimulus	0.001%	null	null	2.438	-1.8324	0.737	0.855	GO:0007179	1
Biological_Process	GO:0061099	negative_regulation_of_protein_tyrosine_kinase_activity	0.001%	null	null	2.698	-1.8324	0.691	0.902	GO:0018108	1
Biological_Process	GO:0000389	mRNA_3'-splice_site_recognition	0.000%	 4.518	-1.542	1.681	-1.8265	0.883	0.566	GO:0000389	0
Biological_Process	GO:0006058	mannoprotein_catabolic_process	0.000%	 3.061	-5.929	0.301	-1.8265	0.867	0.512	GO:0006058	0
Biological_Process	GO:0006438	valyl-tRNA_aminoacylation	0.043%	null	null	4.334	-1.8265	0.796	0.739	GO:0006418	1
Biological_Process	GO:0010826	negative_regulation_of_centrosome_duplication	0.001%	-2.627	 4.052	2.568	-1.8265	0.758	0.671	GO:0010826	0
Biological_Process	GO:0015677	copper_ion_import	0.001%	 4.148	 5.909	2.427	-1.8265	0.917	0.199	GO:0015677	0
Biological_Process	GO:0016048	detection_of_temperature_stimulus	0.001%	-7.222	-1.825	2.699	-1.8265	0.840	0.638	GO:0016048	0
Biological_Process	GO:0016080	synaptic_vesicle_targeting	0.000%	-1.036	 6.707	2.045	-1.8265	0.759	0.675	GO:0016080	0
Biological_Process	GO:0021517	ventral_spinal_cord_development	0.003%	null	null	3.214	-1.8265	0.812	0.779	GO:0021953	1
Biological_Process	GO:0021522	spinal_cord_motor_neuron_differentiation	0.002%	null	null	3.082	-1.8265	0.791	0.930	GO:0021953	1
Biological_Process	GO:0031001	response_to_brefeldin_A	0.000%	-8.001	-2.321	1.531	-1.8265	0.837	0.500	GO:0031001	0
Biological_Process	GO:0033158	regulation_of_protein_import_into_nucleus,_translocation	0.001%	-0.256	 7.276	2.681	-1.8265	0.794	0.493	GO:0033158	0
Biological_Process	GO:0046606	negative_regulation_of_centrosome_cycle	0.000%	null	null	1.857	-1.8265	0.772	0.848	GO:0010826	1
Biological_Process	GO:1901261	regulation_of_sorocarp_spore_cell_differentiation	0.000%	null	null	0.699	-1.8265	0.661	0.858	GO:0031150	1
Biological_Process	GO:1903463	regulation_of_mitotic_cell_cycle_DNA_replication	0.002%	-4.732	 2.050	3.091	-1.8265	0.757	0.168	GO:1903463	0
Biological_Process	GO:2000002	negative_regulation_of_DNA_damage_checkpoint	0.000%	-6.607	 1.357	2.161	-1.8265	0.692	0.627	GO:2000002	0
Biological_Process	GO:2001238	positive_regulation_of_extrinsic_apoptotic_signaling_pathway	0.004%	null	null	3.292	-1.8265	0.669	0.887	GO:0008625	1
