      1 GO:0000001	mitochondrion inheritance
      1 GO:0000019	regulation of mitotic recombination
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
      1 GO:0000103	sulfate assimilation
      1 GO:0000104	succinate dehydrogenase activity
      1 GO:0000107	imidazoleglycerol-phosphate synthase activity
      1 GO:0000110	nucleotide-excision repair factor 1 complex
      1 GO:0000112	nucleotide-excision repair factor 3 complex
      1 GO:0000118	histone deacetylase complex
      1 GO:0000131	incipient cellular bud site
      1 GO:0000137	Golgi cis cisterna
      1 GO:0000144	cellular bud neck septin ring
      1 GO:0000145	exocyst
      1 GO:0000147	actin cortical patch assembly
      1 GO:0000153	cytoplasmic ubiquitin ligase complex
      1 GO:0000164	protein phosphatase type 1 complex
      1 GO:0000171	ribonuclease MRP activity
      1 GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
      1 GO:0000183	rDNA heterochromatin assembly
      1 GO:0000188	inactivation of MAPK activity
      1 GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
      1 GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
      1 GO:0000246	delta24(24-1) sterol reductase activity
      1 GO:0000268	peroxisome targeting sequence binding
      1 GO:0000293	ferric-chelate reductase activity
      1 GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
      1 GO:0000305	response to oxygen radical
      1 GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000312	plastid small ribosomal subunit
      1 GO:0000315	organellar large ribosomal subunit
      1 GO:0000339	RNA cap binding
      1 GO:0000348	mRNA branch site recognition
      1 GO:0000372	Group I intron splicing
      1 GO:0000373	Group II intron splicing
      1 GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile
      1 GO:0000378	RNA exon ligation
      1 GO:0000380	alternative mRNA splicing, via spliceosome
      1 GO:0000384	first spliceosomal transesterification activity
      1 GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
      1 GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
      1 GO:0000399	cellular bud neck septin structure
      1 GO:0000404	heteroduplex DNA loop binding
      1 GO:0000406	double-strand/single-strand DNA junction binding
      1 GO:0000414	regulation of histone H3-K36 methylation
      1 GO:0000416	positive regulation of histone H3-K36 methylation
      1 GO:0000418	RNA polymerase IV complex
      1 GO:0000419	RNA polymerase V complex
      1 GO:0000427	plastid-encoded plastid RNA polymerase complex
      1 GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
      1 GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
      1 GO:0000433	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
      1 GO:0000438	core TFIIH complex portion of holo TFIIH complex
      1 GO:0000454	snoRNA guided rRNA pseudouridine synthesis
      1 GO:0000456	obsolete dimethylation involved in SSU-rRNA maturation
      1 GO:0000465	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000481	maturation of 5S rRNA
      1 GO:0000494	box C/D snoRNA 3'-end processing
      1 GO:0000700	mismatch base pair DNA N-glycosylase activity
      1 GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
      1 GO:0000707	meiotic DNA recombinase assembly
      1 GO:0000709	meiotic joint molecule formation
      1 GO:0000711	meiotic DNA repair synthesis
      1 GO:0000717	nucleotide-excision repair, DNA duplex unwinding
      1 GO:0000719	photoreactive repair
      1 GO:0000735	removal of nonhomologous ends
      1 GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
      1 GO:0000737	DNA catabolic process, endonucleolytic
      1 GO:0000743	nuclear migration involved in conjugation with cellular fusion
      1 GO:0000749	response to pheromone triggering conjugation with cellular fusion
      1 GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
      1 GO:0000755	cytogamy
      1 GO:0000768	syncytium formation by plasma membrane fusion
      1 GO:0000788	nuclear nucleosome
      1 GO:0000797	condensin core heterodimer
      1 GO:0000798	nuclear cohesin complex
      1 GO:0000808	origin recognition complex
      1 GO:0000813	ESCRT I complex
      1 GO:0000909	sporocarp development involved in sexual reproduction
      1 GO:0000913	preprophase band assembly
      1 GO:0000917	division septum assembly
      1 GO:0000923	equatorial microtubule organizing center
      1 GO:0000928	gamma-tubulin small complex, spindle pole body
      1 GO:0000968	tRNA exon ligation
