%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0031328	positive_regulation_of_cellular_biosynthetic_process	0.255%	-5.055	 5.420	5.103	-3.4437	0.602	0.000	GO:0031328	0
Biological_Process	GO:0009891	positive_regulation_of_biosynthetic_process	0.257%	null	null	5.107	-3.3010	0.616	0.957	GO:0031328	1
Biological_Process	GO:0043433	negative_regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.008%	-4.296	 5.207	3.580	-3.2291	0.753	0.284	GO:0043433	0
Biological_Process	GO:0002367	cytokine_production_involved_in_immune_response	0.004%	null	null	3.271	-3.1805	0.628	0.914	GO:0002718	1
Biological_Process	GO:0002718	regulation_of_cytokine_production_involved_in_immune_response	0.003%	-6.158	 2.160	3.174	-3.1805	0.536	0.202	GO:0002718	0
Biological_Process	GO:0002720	positive_regulation_of_cytokine_production_involved_in_immune_response	0.001%	null	null	2.850	-3.1192	0.509	0.945	GO:0002718	1
Biological_Process	GO:0051152	positive_regulation_of_smooth_muscle_cell_differentiation	0.000%	-2.757	 6.645	2.100	-3.1192	0.659	0.575	GO:0051152	0
Biological_Process	GO:0061082	myeloid_leukocyte_cytokine_production	0.001%	null	null	2.802	-3.1192	0.642	0.940	GO:0002718	1
Biological_Process	GO:0002685	regulation_of_leukocyte_migration	0.006%	-5.000	 4.701	3.484	-2.8153	0.630	0.548	GO:0002685	0
Biological_Process	GO:0006797	polyphosphate_metabolic_process	0.043%	 4.266	-1.851	4.334	-2.8153	0.880	0.042	GO:0006797	0
Biological_Process	GO:0051090	regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.021%	-4.348	 5.454	4.020	-2.7905	0.740	0.529	GO:0051090	0
Biological_Process	GO:0007584	response_to_nutrient	0.004%	-5.992	-4.877	3.349	-2.7721	0.842	0.217	GO:0007584	0
Biological_Process	GO:0001976	neurological_system_process_involved_in_regulation_of_systemic_arterial_blood_pressure	0.001%	-2.360	 6.585	2.805	-2.6517	0.678	0.447	GO:0001976	0
Biological_Process	GO:0010020	chloroplast_fission	0.001%	 2.138	-0.283	2.494	-2.6517	0.943	0.016	GO:0010020	0
Biological_Process	GO:0032722	positive_regulation_of_chemokine_production	0.002%	-3.467	 6.627	3.070	-2.6517	0.591	0.633	GO:0032722	0
Biological_Process	GO:0043268	positive_regulation_of_potassium_ion_transport	0.007%	-5.764	 6.006	3.514	-2.6517	0.633	0.635	GO:0043268	0
Biological_Process	GO:0043572	plastid_fission	0.001%	 1.488	-0.066	2.526	-2.6517	0.944	0.606	GO:0043572	0
Biological_Process	GO:0051150	regulation_of_smooth_muscle_cell_differentiation	0.001%	null	null	2.700	-2.6517	0.732	0.839	GO:0051152	1
Biological_Process	GO:0009086	methionine_biosynthetic_process	0.337%	 5.427	-1.371	5.225	-2.5406	0.806	0.322	GO:0009086	0
Biological_Process	GO:0042144	vacuole_fusion,_non-autophagic	0.000%	 1.023	 0.120	2.155	-2.4248	0.907	0.374	GO:0042144	0
Biological_Process	GO:0097576	vacuole_fusion	0.000%	null	null	2.158	-2.4248	0.943	0.734	GO:0042144	1
Biological_Process	GO:0043901	negative_regulation_of_multi-organism_process	0.277%	-5.915	 5.705	5.139	-2.4001	0.683	0.279	GO:0043901	0
