      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0000030	mannosyltransferase activity
      1 GO:0000054	ribosomal subunit export from nucleus
      1 GO:0000055	ribosomal large subunit export from nucleus
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000075	cell cycle checkpoint
      1 GO:0000082	G1/S transition of mitotic cell cycle
      1 GO:0000086	G2/M transition of mitotic cell cycle
      1 GO:0000128	flocculation
      1 GO:0000138	Golgi trans cisterna
      1 GO:0000153	cytoplasmic ubiquitin ligase complex
      1 GO:0000154	rRNA modification
      1 GO:0000162	tryptophan biosynthetic process
      1 GO:0000165	MAPK cascade
      1 GO:0000186	activation of MAPKK activity
      1 GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
      1 GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
      1 GO:0000303	response to superoxide
      1 GO:0000305	response to oxygen radical
      1 GO:0000307	cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000325	plant-type vacuole
      1 GO:0000372	Group I intron splicing
      1 GO:0000373	Group II intron splicing
      1 GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile
      1 GO:0000398	mRNA splicing, via spliceosome
      1 GO:0000408	EKC/KEOPS complex
      1 GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000460	maturation of 5.8S rRNA
      1 GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000469	cleavage involved in rRNA processing
      1 GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000478	endonucleolytic cleavage involved in rRNA processing
      1 GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000722	telomere maintenance via recombination
      1 GO:0000775	chromosome, centromeric region
      1 GO:0000776	kinetochore
      1 GO:0000781	chromosome, telomeric region
      1 GO:0000822	inositol hexakisphosphate binding
      1 GO:0000835	ER ubiquitin ligase complex
      1 GO:0000836	Hrd1p ubiquitin ligase complex
      1 GO:0000837	Doa10p ubiquitin ligase complex
      1 GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
      1 GO:0000932	P-body
      1 GO:0000938	GARP complex
      1 GO:0000959	mitochondrial RNA metabolic process
      1 GO:0000963	mitochondrial RNA processing
      1 GO:0000966	RNA 5'-end processing
      1 GO:0000967	rRNA 5'-end processing
      1 GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
      1 GO:0001046	core promoter sequence-specific DNA binding
      1 GO:0001085	RNA polymerase II transcription factor binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001501	skeletal system development
      1 GO:0001503	ossification
      1 GO:0001514	selenocysteine incorporation
      1 GO:0001516	prostaglandin biosynthetic process
      1 GO:0001525	angiogenesis
      1 GO:0001568	blood vessel development
      1 GO:0001650	fibrillar center
      1 GO:0001664	G protein-coupled receptor binding
      1 GO:0001667	ameboidal-type cell migration
      1 GO:0001669	acrosomal vesicle
      1 GO:0001676	long-chain fatty acid metabolic process
      1 GO:0001701	in utero embryonic development
      1 GO:0001824	blastocyst development
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001894	tissue homeostasis
      1 GO:0001906	cell killing
      1 GO:0001935	endothelial cell proliferation
      1 GO:0001936	regulation of endothelial cell proliferation
      1 GO:0001938	positive regulation of endothelial cell proliferation
      1 GO:0001942	hair follicle development
      1 GO:0001944	vasculature development
      1 GO:0001990	regulation of systemic arterial blood pressure by hormone
      1 GO:0002016	regulation of blood volume by renin-angiotensin
      1 GO:0002021	response to dietary excess
      1 GO:0002024	diet induced thermogenesis
      1 GO:0002035	brain renin-angiotensin system
      1 GO:0002064	epithelial cell development
      1 GO:0002065	columnar/cuboidal epithelial cell differentiation
      1 GO:0002066	columnar/cuboidal epithelial cell development
      1 GO:0002082	regulation of oxidative phosphorylation
      1 GO:0002246	wound healing involved in inflammatory response
      1 GO:0002262	myeloid cell homeostasis
      1 GO:0002521	leukocyte differentiation
      1 GO:0002673	regulation of acute inflammatory response
      1 GO:0002675	positive regulation of acute inflammatory response
      1 GO:0002689	negative regulation of leukocyte chemotaxis
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002696	positive regulation of leukocyte activation
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002705	positive regulation of leukocyte mediated immunity
      1 GO:0002706	regulation of lymphocyte mediated immunity
      1 GO:0002708	positive regulation of lymphocyte mediated immunity
      1 GO:0002709	regulation of T cell mediated immunity
      1 GO:0002711	positive regulation of T cell mediated immunity
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002724	regulation of T cell cytokine production
      1 GO:0002726	positive regulation of T cell cytokine production
      1 GO:0002790	peptide secretion
      1 GO:0002792	negative regulation of peptide secretion
      1 GO:0002793	positive regulation of peptide secretion
      1 GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002828	regulation of type 2 immune response
      1 GO:0002830	positive regulation of type 2 immune response
      1 GO:0002832	negative regulation of response to biotic stimulus
      1 GO:0002833	positive regulation of response to biotic stimulus
      1 GO:0002886	regulation of myeloid leukocyte mediated immunity
      1 GO:0002887	negative regulation of myeloid leukocyte mediated immunity
      1 GO:0002902	regulation of B cell apoptotic process
      1 GO:0002903	negative regulation of B cell apoptotic process
      1 GO:0002905	regulation of mature B cell apoptotic process
      1 GO:0002906	negative regulation of mature B cell apoptotic process
      1 GO:0002949	tRNA threonylcarbamoyladenosine modification
      1 GO:0003002	regionalization
      1 GO:0003007	heart morphogenesis
      1 GO:0003032	detection of oxygen
      1 GO:0003068	regulation of systemic arterial blood pressure by acetylcholine
      1 GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
      1 GO:0003070	regulation of systemic arterial blood pressure by neurotransmitter
      1 GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin
      1 GO:0003085	negative regulation of systemic arterial blood pressure
      1 GO:0003299	muscle hypertrophy in response to stress
      1 GO:0003300	cardiac muscle hypertrophy
      1 GO:0003333	amino acid transmembrane transport
      1 GO:0003714	transcription corepressor activity
      1 GO:0003724	RNA helicase activity
      1 GO:0003725	double-stranded RNA binding
      1 GO:0003727	single-stranded RNA binding
      1 GO:0003756	protein disulfide isomerase activity
      1 GO:0003962	cystathionine gamma-synthase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004048	anthranilate phosphoribosyltransferase activity
      1 GO:0004072	aspartate kinase activity
      1 GO:0004112	cyclic-nucleotide phosphodiesterase activity
      1 GO:0004121	cystathionine beta-lyase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004130	cytochrome-c peroxidase activity
      1 GO:0004140	dephospho-CoA kinase activity
      1 GO:0004152	dihydroorotate dehydrogenase activity
      1 GO:0004167	dopachrome isomerase activity
      1 GO:0004180	carboxypeptidase activity
      1 GO:0004181	metallocarboxypeptidase activity
      1 GO:0004309	exopolyphosphatase activity
      1 GO:0004326	tetrahydrofolylpolyglutamate synthase activity
      1 GO:0004334	fumarylacetoacetase activity
      1 GO:0004370	glycerol kinase activity
      1 GO:0004386	helicase activity
      1 GO:0004392	heme oxygenase (decyclizing) activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004465	lipoprotein lipase activity
      1 GO:0004518	nuclease activity
      1 GO:0004519	endonuclease activity
      1 GO:0004521	endoribonuclease activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004540	ribonuclease activity
      1 GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
      1 GO:0004595	pantetheine-phosphate adenylyltransferase activity
      1 GO:0004630	phospholipase D activity
      1 GO:0004675	transmembrane receptor protein serine/threonine kinase activity
      1 GO:0004693	cyclin-dependent protein serine/threonine kinase activity
      1 GO:0004706	JUN kinase kinase kinase activity
      1 GO:0004709	MAP kinase kinase kinase activity
      1 GO:0004736	pyruvate carboxylase activity
      1 GO:0004784	superoxide dismutase activity
      1 GO:0004812	aminoacyl-tRNA ligase activity
      1 GO:0004831	tyrosine-tRNA ligase activity
      1 GO:0004857	enzyme inhibitor activity
      1 GO:0004888	transmembrane signaling receptor activity
      1 GO:0005125	cytokine activity
      1 GO:0005153	interleukin-8 receptor binding
      1 GO:0005287	high-affinity basic amino acid transmembrane transporter activity
      1 GO:0005289	high-affinity arginine transmembrane transporter activity
