%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0043433	negative_regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.008%	-0.615	-7.041	3.580	-3.2840	0.762	0.000	GO:0043433	0
Biological_Process	GO:0051152	positive_regulation_of_smooth_muscle_cell_differentiation	0.000%	 5.943	-2.688	2.100	-3.1487	0.664	0.154	GO:0051152	0
Biological_Process	GO:0051090	regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.021%	-0.502	-6.887	4.020	-2.8570	0.752	0.529	GO:0051090	0
Biological_Process	GO:0010020	chloroplast_fission	0.001%	 0.208	-3.519	2.494	-2.6799	0.916	0.013	GO:0010020	0
Biological_Process	GO:0043572	plastid_fission	0.001%	 0.002	-3.490	2.526	-2.6799	0.921	0.606	GO:0043572	0
Biological_Process	GO:0051150	regulation_of_smooth_muscle_cell_differentiation	0.001%	null	null	2.700	-2.6799	0.680	0.839	GO:0051152	1
Biological_Process	GO:1901607	alpha-amino_acid_biosynthetic_process	3.033%	-2.776	 4.019	6.179	-2.4908	0.795	0.140	GO:1901607	0
Biological_Process	GO:0009070	serine_family_amino_acid_biosynthetic_process	0.413%	null	null	5.312	-2.4672	0.813	0.707	GO:1901607	1
Biological_Process	GO:0009092	homoserine_metabolic_process	0.015%	-1.750	 5.705	3.877	-2.3872	0.857	0.491	GO:0009092	0
Biological_Process	GO:0051147	regulation_of_muscle_cell_differentiation	0.007%	null	null	3.529	-2.3615	0.661	0.749	GO:0051152	1
Biological_Process	GO:0016485	protein_processing	0.210%	-5.815	-2.326	5.018	-2.1124	0.875	0.191	GO:0016485	0
Biological_Process	GO:0097421	liver_regeneration	0.000%	 6.904	 1.962	1.301	-2.0947	0.677	0.314	GO:0097421	0
Biological_Process	GO:0008652	cellular_amino_acid_biosynthetic_process	3.697%	null	null	6.265	-2.0482	0.796	0.863	GO:1901607	1
Biological_Process	GO:0001514	selenocysteine_incorporation	0.022%	-2.425	-4.962	4.041	-2.0048	0.734	0.252	GO:0001514	0
Biological_Process	GO:0006451	translational_readthrough	0.022%	-2.534	-5.218	4.041	-2.0048	0.734	0.627	GO:0006451	0
Biological_Process	GO:0035886	vascular_smooth_muscle_cell_differentiation	0.001%	null	null	2.694	-2.0048	0.610	0.889	GO:0051152	1
Biological_Process	GO:0051145	smooth_muscle_cell_differentiation	0.004%	null	null	3.252	-2.0048	0.757	0.850	GO:0051152	1
Biological_Process	GO:0032092	positive_regulation_of_protein_binding	0.003%	 0.293	-7.982	3.199	-1.9477	0.825	0.478	GO:0032092	0
Biological_Process	GO:0042554	superoxide_anion_generation	0.002%	 1.279	 2.403	2.952	-1.8814	0.938	0.028	GO:0042554	0
Biological_Process	GO:0007595	lactation	0.002%	 6.056	-1.655	2.983	-1.8661	0.559	0.639	GO:0007595	0
Biological_Process	GO:1901342	regulation_of_vasculature_development	0.012%	 6.342	-1.701	3.772	-1.8193	0.543	0.472	GO:1901342	0
Biological_Process	GO:0006520	cellular_amino_acid_metabolic_process	6.437%	null	null	6.505	-1.7595	0.820	0.701	GO:1901607	1
Biological_Process	GO:0000098	sulfur_amino_acid_catabolic_process	0.001%	-1.730	 6.055	2.829	-1.7488	0.882	0.349	GO:0000098	0
Biological_Process	GO:0014013	regulation_of_gliogenesis	0.004%	null	null	3.292	-1.7488	0.541	0.715	GO:1901342	1
Biological_Process	GO:0019083	viral_transcription	0.064%	-4.048	-3.916	4.506	-1.7488	0.824	0.256	GO:0019083	0
Biological_Process	GO:0046782	regulation_of_viral_transcription	0.003%	null	null	3.205	-1.7488	0.740	0.815	GO:0019083	1
Biological_Process	GO:0048662	negative_regulation_of_smooth_muscle_cell_proliferation	0.002%	 3.715	-7.556	2.892	-1.7488	0.766	0.167	GO:0048662	0
Biological_Process	GO:0051149	positive_regulation_of_muscle_cell_differentiation	0.003%	null	null	3.113	-1.7488	0.637	0.870	GO:0051152	1
Biological_Process	GO:0043901	negative_regulation_of_multi-organism_process	0.277%	 3.530	-6.614	5.139	-1.7156	0.704	0.527	GO:0043901	0
Biological_Process	GO:0042981	regulation_of_apoptotic_process	0.129%	 2.390	-7.485	4.806	-1.6405	0.779	0.213	GO:0042981	0
Biological_Process	GO:0048732	gland_development	0.028%	 7.113	 1.529	4.138	-1.6271	0.608	0.653	GO:0048732	0
Biological_Process	GO:0051604	protein_maturation	0.223%	-5.674	-2.453	5.046	-1.6045	0.880	0.299	GO:0051604	0
Biological_Process	GO:0010821	regulation_of_mitochondrion_organization	0.005%	 1.492	-7.120	3.425	-1.6033	0.793	0.425	GO:0010821	0
Biological_Process	GO:0002024	diet_induced_thermogenesis	0.000%	 5.581	-1.465	2.350	-1.5727	0.607	0.557	GO:0002024	0
Biological_Process	GO:0002043	blood_vessel_endothelial_cell_proliferation_involved_in_sprouting_angiogenesis	0.000%	null	null	2.176	-1.5727	0.661	0.721	GO:1901342	1
Biological_Process	GO:0002246	wound_healing_involved_in_inflammatory_response	0.000%	 2.623	 4.223	2.294	-1.5727	0.911	0.160	GO:0002246	0
Biological_Process	GO:0002887	negative_regulation_of_myeloid_leukocyte_mediated_immunity	0.000%	 4.669	-6.838	2.360	-1.5727	0.777	0.470	GO:0002887	0
Biological_Process	GO:0003032	detection_of_oxygen	0.007%	 2.769	 4.121	3.551	-1.5727	0.916	0.328	GO:0003032	0
Biological_Process	GO:0003068	regulation_of_systemic_arterial_blood_pressure_by_acetylcholine	0.000%	null	null	1.681	-1.5727	0.645	1.000	GO:0003070	1
Biological_Process	GO:0003069	vasodilation_by_acetylcholine_involved_in_regulation_of_systemic_arterial_blood_pressure	0.000%	null	null	1.681	-1.5727	0.634	0.862	GO:0003070	1
