gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	25.91	20.21	27.05	24.39	3.66458728917732
Sm_t00000002-RA	18.9	13.23	24.55	18.8933333333333	5.66000294463999
Sm_t00000004-RA	42.4	30.14	39.69	37.41	6.4401630414144
Sm_t00000005-RA	11.8	13.87	19.96	15.21	4.24182743637692
Sm_t00000006-RA	42.75	38.23	37.75	39.5766666666667	2.75864701136868
Sm_t00000008-RA	7.97	8.61	7.09	7.89	0.763151361133556
Sm_t00000011-RA	14.29	29.03	12.57	18.63	9.04762952380346
Sm_t00000013-RA	29.42	35.77	30.78	31.99	3.34345629551218
Sm_t00000015-RA	24.07	23.34	39.75	29.0533333333333	9.27077307096519
Sm_t00000018-RA	51.8	61.11	49.15	54.02	6.28145683739051
Sm_t00000020-RA	32.82	25.81	29.79	29.4733333333333	3.51571235076667
Sm_t00000025-RA	20.47	20.54	20.74	20.5833333333333	0.140118997046558
Sm_t00000030-RA	36.68	39.63	31.61	35.9733333333333	4.05643110792398
Sm_t00000033-RA	6.39	28.57	16.89	17.2833333333333	11.0952302064145
Sm_t00000034-RA	100	100	53.85	84.6166666666667	26.6447149231012
Sm_t00000036-RA	39.98	46.31	51.52	45.9366666666667	5.77905124854706
Sm_t00000037-RA	29.45	26.74	33.79	29.9933333333333	3.55626676914617
Sm_t00000040-RA	31.69	30.03	42.18	34.6333333333333	6.58809785395855
Sm_t00000043-RA	5.45	7	7.6	6.68333333333333	1.10942928270951
Sm_t00000050-RA	18.97	28.98	22.26	23.4033333333333	5.10200287468885
Sm_t00000051-RA	29.95	23.01	21.78	24.9133333333333	4.40502364730694
Sm_t00000053-RA	NA	20.83	12.25	16.54	6.06697618258058
Sm_t00000054-RA	36.6	29.22	33.97	33.2633333333333	3.74040550386363
Sm_t00000055-RA	44.71	37.32	44.33	42.12	4.16126182785943
Sm_t00000056-RA	18.28	16.04	12.73	15.6833333333333	2.79213777119492
Sm_t00000057-RA	12.07	15.18	13.29	13.5133333333333	1.56698223772107
Sm_t00000058-RA	15.71	18.56	27.09	20.4533333333333	5.92153977723137
Sm_t00000059-RA	24.68	25.25	34.13	28.02	5.29908482664696
Sm_t00000061-RA	5.88	9.09	13.67	9.54666666666667	3.91502660697642
Sm_t00000064-RA	10.09	13.76	13.21	12.3533333333333	1.97930122349614
Sm_t00000066-RA	50	26.32	NA	38.16	16.7442885784974
Sm_t00000068-RA	22.12	24.43	22.45	23	1.24935983607606
Sm_t00000069-RA	19.96	13.74	15.7	16.4666666666667	3.18008385633671
Sm_t00000070-RA	24.72	10.78	15.59	17.03	7.0806849951117
Sm_t00000071-RA	7.23	10.97	6.61	8.27	2.35872847101993
Sm_t00000073-RA	57.91	43.34	35.4	45.55	11.4165712891393
Sm_t00000077-RA	8.4	8.46	18.38	11.7466666666667	5.74471351185882
Sm_t00000078-RA	20.3	16.16	24.53	20.33	4.18508064438429
Sm_t00000079-RA	10.4	17.67	14.09	14.0533333333333	3.63513869519903
Sm_t00000081-RA	19.06	25.18	28.91	24.3833333333333	4.97309092349349
Sm_t00000084-RA	23.47	39.42	37.14	33.3433333333333	8.62621778842462
Sm_t00000086-RA	32.79	38.06	33.73	34.86	2.81085396276648
Sm_t00000088-RA	41.16	41.59	32.35	38.3666666666667	5.21501997439447
Sm_t00000091-RA	19.86	15.98	16.62	17.4866666666667	2.08012820117735
Sm_t00000092-RA	35.95	20.91	28.68	28.5133333333333	7.52138506748148
Sm_t00000096-RA	16.13	16.7	NA	16.415	0.403050865276332
Sm_t00000097-RA	21.41	22.25	20.12	21.26	1.07289328453486
Sm_t00000098-RA	22.4	20.61	20.36	21.1233333333333	1.11266946274863
Sm_t00000099-RA	26.59	27.18	29.19	27.6533333333333	1.36309696402469
Sm_t00000100-RA	37.62	39.04	52.94	43.2	8.4649158294693
Sm_t00000103-RA	15.14	15.49	10.3	13.6433333333333	2.90069531894222
Sm_t00000104-RA	36.34	35.38	30.5	34.0733333333333	3.13160235875076
Sm_t00000105-RA	33.44	30.43	31.16	31.6766666666667	1.57010615352381
Sm_t00000106-RA	21.82	12.62	6.62	13.6866666666667	7.65593451730965
Sm_t00000107-RA	11	17.16	16.4	14.8533333333333	3.35865052265539
Sm_t00000108-RA	17.27	21.72	16.97	18.6533333333333	2.66004385928754
Sm_t00000111-RA	25.76	21.34	26.45	24.5166666666667	2.77262210431449
Sm_t00000114-RA	10.55	14.32	12.68	12.5166666666667	1.89029979985539
Sm_t00000115-RA	23.48	19.34	16.59	19.8033333333333	3.46828968417192
Sm_t00000116-RA	22.84	24.85	33.04	26.91	5.40302692941651
Sm_t00000117-RA	38.58	45.81	37.19	40.5266666666667	4.62798372224162
Sm_t00000118-RA	10.1	6.57	17.94	11.5366666666667	5.81955611136565
Sm_t00000119-RA	30.53	26.68	30.5	29.2366666666667	2.21418909159388
Sm_t00000121-RA	22.69	8.96	8.96	13.5366666666667	7.92701919597356
Sm_t00000124-RA	60.85	68.1	57.63	62.1933333333333	5.3627076494373
Sm_t00000126-RA	25.02	24.43	59.52	36.3233333333333	20.0910684965567
Sm_t00000127-RA	0	8.43	11.76	6.73	6.06150971293456
Sm_t00000128-RA	23.59	37.54	26.33	29.1533333333333	7.3911456035809
Sm_t00000129-RA	36.47	41.13	26.3	34.6333333333333	7.58368204326456
Sm_t00000131-RA	14.21	14.15	8.86	12.4066666666667	3.07164993665185
Sm_t00000133-RA	8.72	1.69	14.93	8.44666666666667	6.62423077295268
Sm_t00000134-RA	10.11	20.02	22.26	17.4633333333333	6.4659131863437
Sm_t00000135-RA	15.64	17.7	14.2	15.8466666666667	1.75912857214398
Sm_t00000137-RA	66.16	65.26	62.37	64.5966666666667	1.98015992620125
Sm_t00000138-RA	28.6	31.07	26.45	28.7066666666667	2.31184630400322
Sm_t00000139-RA	48.69	55.09	38.32	47.3666666666667	8.46295653618364
Sm_t00000140-RA	42.94	46.54	44.45	44.6433333333333	1.80777026564034
Sm_t00000143-RA	15.52	16.41	23.93	18.62	4.62007575695464
Sm_t00000144-RA	20.36	20.6	24.39	21.7833333333333	2.26062675674985
Sm_t00000145-RA	33.18	34.76	33.05	33.6633333333333	0.95196288443055
Sm_t00000146-RA	14.18	12.9	13.89	13.6566666666667	0.671143303127829
Sm_t00000147-RA	15.88	31.07	20.73	22.56	7.75858878920645
Sm_t00000148-RA	17.46	23.68	18.23	19.79	3.39076687491193
Sm_t00000149-RA	11.45	14.1	15.35	13.6333333333333	1.99144001499752
Sm_t00000150-RA	20.63	23	18.83	20.82	2.09148272763607
Sm_t00000151-RA	26.68	21.13	18.06	21.9566666666667	4.36905405475068
Sm_t00000153-RA	6.52	21.22	19.76	15.8333333333333	8.09855131077981
Sm_t00000154-RA	19.89	22.56	23.25	21.9	1.77457037054043
Sm_t00000155-RA	32.39	33.78	19.15	28.44	8.07533900217198
Sm_t00000157-RA	8.22	4.24	4.01	5.49	2.36704457076752
Sm_t00000159-RA	9.24	10.33	9.71	9.76	0.546717477313466
Sm_t00000161-RA	27.2	31.17	34.82	31.0633333333333	3.81111969548758
Sm_t00000162-RA	13.65	9.73	17.91	13.7633333333333	4.09117749961222
Sm_t00000164-RA	25.02	22.9	25.03	24.3166666666667	1.22687951051981
Sm_t00000165-RA	24.4	29.36	26.41	26.7233333333333	2.49480126128983
Sm_t00000166-RA	19.34	23.43	20.78	21.1833333333333	2.07461643041149
Sm_t00000167-RA	68.71	61.4	57.92	62.6766666666667	5.50712568708335
Sm_t00000168-RA	6.52	6.09	9.25	7.28666666666667	1.7138358536725
Sm_t00000170-RA	15.07	24.24	19.58	19.63	4.58520446654236
Sm_t00000171-RA	5.05	8.13	11.24	8.14	3.09501211629292
Sm_t00000177-RA	21.86	32	34.82	29.56	6.81583450503311
Sm_t00000178-RA	20	22.58	22.15	21.5766666666667	1.38225660907566
Sm_t00000181-RA	8.65	13.64	12.4	11.5633333333333	2.59808262634839
Sm_t00000182-RA	28.73	27.7	11.91	22.78	9.42777280167485
Sm_t00000183-RA	13.23	13.13	12.09	12.8166666666667	0.631294965395206
Sm_t00000184-RA	22.69	23.48	21.4	22.5233333333333	1.04996825348833
Sm_t00000185-RA	22.11	24.96	18.66	21.91	3.15475831086947
Sm_t00000188-RA	21.11	21.01	17.84	19.9866666666667	1.85974012521463
Sm_t00000190-RA	13.31	14.54	20.25	16.0333333333333	3.7031653127201
Sm_t00000191-RA	16.88	24.62	21.89	21.13	3.92557002230249
Sm_t00000193-RA	21.54	29.58	25.4	25.5066666666667	4.02106121979426
Sm_t00000194-RA	20.27	19.55	21.7	20.5066666666667	1.09436435127124
Sm_t00000195-RA	12.45	28.2	18.85	19.8333333333333	7.92091114287576
Sm_t00000196-RA	32.78	28.16	25.15	28.6966666666667	3.84320612683386
Sm_t00000197-RA	17.29	19.68	31.18	22.7166666666667	7.42623951494519
Sm_t00000198-RA	10.76	12.51	11.15	11.4733333333333	0.918712867730355
Sm_t00000200-RA	17.6	28.68	25.59	23.9566666666667	5.71772973594707
Sm_t00000202-RA	41.6	40.84	40.74	41.06	0.470319040652193
Sm_t00000204-RA	44.18	43.64	45.72	44.5133333333333	1.07932077406734
Sm_t00000205-RA	11.96	5.23	13.58	10.2566666666667	4.42793781949717
Sm_t00000206-RA	18.13	15.07	8.51	13.9033333333333	4.9149703288355
Sm_t00000207-RA	18.82	7.79	11.42	12.6766666666667	5.62135511539107
Sm_t00000208-RA	15.23	15.92	20.73	17.2933333333333	2.99616977712101
Sm_t00000209-RA	20.41	17.91	21.34	19.8866666666667	1.77387523048644
Sm_t00000210-RA	10.86	9.21	7.69	9.25333333333333	1.58544420694433
Sm_t00000211-RA	14.51	22.02	11.13	15.8866666666667	5.5739961727053
