%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0006399	tRNA_metabolic_process	2.533%	 7.536	 0.627	6.100	-4.0862	0.775	0.000	GO:0006399	0
Biological_Process	GO:0034660	ncRNA_metabolic_process	3.209%	 7.420	 0.274	6.203	-4.0132	0.807	0.482	GO:0034660	0
Biological_Process	GO:0034470	ncRNA_processing	2.258%	null	null	6.050	-3.6198	0.766	0.892	GO:0006399	1
Biological_Process	GO:0043038	amino_acid_activation	0.987%	 4.674	-3.349	5.691	-3.4559	0.848	0.141	GO:0043038	0
Biological_Process	GO:0043039	tRNA_aminoacylation	0.987%	null	null	5.691	-3.4559	0.743	0.988	GO:0006399	1
Biological_Process	GO:0009451	RNA_modification	1.915%	 6.697	 0.708	5.979	-3.3872	0.782	0.449	GO:0009451	0
Biological_Process	GO:0006418	tRNA_aminoacylation_for_protein_translation	0.967%	null	null	5.682	-3.3665	0.701	0.801	GO:0006399	1
Biological_Process	GO:0006396	RNA_processing	2.784%	 7.470	 0.437	6.141	-3.3010	0.807	0.488	GO:0006396	0
Biological_Process	GO:0033260	nuclear_cell_cycle_DNA_replication	0.001%	 3.899	-0.641	2.679	-3.2441	0.823	0.168	GO:0033260	0
Biological_Process	GO:0006139	nucleobase-containing_compound_metabolic_process	29.917%	 6.250	-2.528	7.173	-3.1675	0.849	0.304	GO:0006139	0
Biological_Process	GO:0046483	heterocycle_metabolic_process	33.326%	 2.324	-1.721	7.220	-3.0362	0.918	0.120	GO:0046483	0
Biological_Process	GO:1902969	mitotic_cell_cycle_DNA_replication	0.000%	null	null	1.643	-3.0269	0.836	0.793	GO:0033260	1
Biological_Process	GO:0042306	regulation_of_protein_import_into_nucleus	0.009%	-5.922	-0.484	3.631	-3.0044	0.742	0.022	GO:0042306	0
Biological_Process	GO:0035710	CD4-positive,_alpha-beta_T_cell_activation	0.003%	-2.737	 0.634	3.234	-2.7595	0.878	0.029	GO:0035710	0
Biological_Process	GO:0006725	cellular_aromatic_compound_metabolic_process	33.051%	 2.288	-1.132	7.216	-2.6596	0.918	0.259	GO:0006725	0
Biological_Process	GO:0042455	ribonucleoside_biosynthetic_process	1.646%	 6.041	-3.105	5.913	-2.6536	0.793	0.301	GO:0042455	0
