      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0000049	tRNA binding
      1 GO:0000054	ribosomal subunit export from nucleus
      1 GO:0000055	ribosomal large subunit export from nucleus
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000082	G1/S transition of mitotic cell cycle
      1 GO:0000086	G2/M transition of mitotic cell cycle
      1 GO:0000098	sulfur amino acid catabolic process
      1 GO:0000128	flocculation
      1 GO:0000131	incipient cellular bud site
      1 GO:0000138	Golgi trans cisterna
      1 GO:0000153	cytoplasmic ubiquitin ligase complex
      1 GO:0000154	rRNA modification
      1 GO:0000162	tryptophan biosynthetic process
      1 GO:0000165	MAPK cascade
      1 GO:0000166	nucleotide binding
      1 GO:0000186	activation of MAPKK activity
      1 GO:0000282	cellular bud site selection
      1 GO:0000287	magnesium ion binding
      1 GO:0000302	response to reactive oxygen species
      1 GO:0000303	response to superoxide
      1 GO:0000305	response to oxygen radical
      1 GO:0000307	cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000325	plant-type vacuole
      1 GO:0000329	fungal-type vacuole membrane
      1 GO:0000451	rRNA 2'-O-methylation
      1 GO:0000502	proteasome complex
      1 GO:0000731	DNA synthesis involved in DNA repair
      1 GO:0000746	conjugation
      1 GO:0000747	conjugation with cellular fusion
      1 GO:0000755	cytogamy
      1 GO:0000792	heterochromatin
      1 GO:0000822	inositol hexakisphosphate binding
      1 GO:0000835	ER ubiquitin ligase complex
      1 GO:0000836	Hrd1p ubiquitin ligase complex
      1 GO:0000837	Doa10p ubiquitin ligase complex
      1 GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
      1 GO:0000917	division septum assembly
      1 GO:0000938	GARP complex
      1 GO:0000959	mitochondrial RNA metabolic process
      1 GO:0000976	transcription regulatory region sequence-specific DNA binding
      1 GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
      1 GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
      1 GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
      1 GO:0000987	cis-regulatory region sequence-specific DNA binding
      1 GO:0001085	RNA polymerase II transcription factor binding
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001501	skeletal system development
      1 GO:0001505	regulation of neurotransmitter levels
      1 GO:0001510	RNA methylation
      1 GO:0001514	selenocysteine incorporation
      1 GO:0001669	acrosomal vesicle
      1 GO:0001817	regulation of cytokine production
      1 GO:0001818	negative regulation of cytokine production
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001906	cell killing
      1 GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure
      1 GO:0002009	morphogenesis of an epithelium
      1 GO:0002039	p53 binding
      1 GO:0002082	regulation of oxidative phosphorylation
      1 GO:0002119	nematode larval development
      1 GO:0002164	larval development
      1 GO:0002165	instar larval or pupal development
      1 GO:0002237	response to molecule of bacterial origin
      1 GO:0002251	organ or tissue specific immune response
      1 GO:0002385	mucosal immune response
      1 GO:0002520	immune system development
      1 GO:0002697	regulation of immune effector process
      1 GO:0002698	negative regulation of immune effector process
      1 GO:0002831	regulation of response to biotic stimulus
      1 GO:0002832	negative regulation of response to biotic stimulus
      1 GO:0003007	heart morphogenesis
      1 GO:0003008	system process
      1 GO:0003013	circulatory system process
      1 GO:0003018	vascular process in circulatory system
      1 GO:0003032	detection of oxygen
      1 GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
      1 GO:0003068	regulation of systemic arterial blood pressure by acetylcholine
      1 GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
      1 GO:0003070	regulation of systemic arterial blood pressure by neurotransmitter
      1 GO:0003073	regulation of systemic arterial blood pressure
      1 GO:0003085	negative regulation of systemic arterial blood pressure
      1 GO:0003333	amino acid transmembrane transport
      1 GO:0003360	brainstem development
      1 GO:0003684	damaged DNA binding
      1 GO:0003690	double-stranded DNA binding
      1 GO:0003712	transcription coregulator activity
      1 GO:0003713	transcription coactivator activity
      1 GO:0003714	transcription corepressor activity
      1 GO:0003756	protein disulfide isomerase activity
      1 GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
      1 GO:0003905	alkylbase DNA N-glycosylase activity
      1 GO:0003937	IMP cyclohydrolase activity
      1 GO:0003962	cystathionine gamma-synthase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004048	anthranilate phosphoribosyltransferase activity
      1 GO:0004072	aspartate kinase activity
      1 GO:0004121	cystathionine beta-lyase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004180	carboxypeptidase activity
      1 GO:0004181	metallocarboxypeptidase activity
      1 GO:0004309	exopolyphosphatase activity
      1 GO:0004334	fumarylacetoacetase activity
      1 GO:0004370	glycerol kinase activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004519	endonuclease activity
      1 GO:0004521	endoribonuclease activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004601	peroxidase activity
      1 GO:0004620	phospholipase activity
      1 GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
      1 GO:0004647	phosphoserine phosphatase activity
      1 GO:0004675	transmembrane receptor protein serine/threonine kinase activity
      1 GO:0004693	cyclin-dependent protein serine/threonine kinase activity
      1 GO:0004706	JUN kinase kinase kinase activity
      1 GO:0004709	MAP kinase kinase kinase activity
      1 GO:0004784	superoxide dismutase activity
      1 GO:0004792	thiosulfate sulfurtransferase activity
      1 GO:0004798	thymidylate kinase activity
      1 GO:0004806	triglyceride lipase activity
      1 GO:0004857	enzyme inhibitor activity
      1 GO:0004888	transmembrane signaling receptor activity
      1 GO:0005096	GTPase activator activity
      1 GO:0005287	high-affinity basic amino acid transmembrane transporter activity
      1 GO:0005289	high-affinity arginine transmembrane transporter activity
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005292	high-affinity lysine transmembrane transporter activity
      1 GO:0005319	lipid transporter activity
      1 GO:0005342	organic acid transmembrane transporter activity
      1 GO:0005484	SNAP receptor activity
      1 GO:0005548	phospholipid transporter activity
      1 GO:0005615	extracellular space
      1 GO:0005628	prospore membrane
      1 GO:0005741	mitochondrial outer membrane
      1 GO:0005791	rough endoplasmic reticulum
      1 GO:0005795	Golgi stack
      1 GO:0005797	Golgi medial cisterna
      1 GO:0005798	Golgi-associated vesicle
      1 GO:0005801	cis-Golgi network
      1 GO:0005811	lipid droplet
      1 GO:0005815	microtubule organizing center
      1 GO:0005887	integral component of plasma membrane
      1 GO:0005911	cell-cell junction
      1 GO:0005929	cilium
      1 GO:0005933	cellular bud
      1 GO:0005934	cellular bud tip
      1 GO:0005935	cellular bud neck
      1 GO:0005937	mating projection
      1 GO:0005975	carbohydrate metabolic process
      1 GO:0006066	alcohol metabolic process
      1 GO:0006071	glycerol metabolic process
      1 GO:0006072	glycerol-3-phosphate metabolic process
      1 GO:0006109	regulation of carbohydrate metabolic process
      1 GO:0006112	energy reserve metabolic process
      1 GO:0006140	regulation of nucleotide metabolic process
      1 GO:0006163	purine nucleotide metabolic process
      1 GO:0006164	purine nucleotide biosynthetic process
      1 GO:0006188	IMP biosynthetic process
      1 GO:0006189	'de novo' IMP biosynthetic process
      1 GO:0006220	pyrimidine nucleotide metabolic process
      1 GO:0006221	pyrimidine nucleotide biosynthetic process
      1 GO:0006227	dUDP biosynthetic process
      1 GO:0006233	dTDP biosynthetic process
      1 GO:0006235	dTTP biosynthetic process
      1 GO:0006271	DNA strand elongation involved in DNA replication
      1 GO:0006273	lagging strand elongation
      1 GO:0006275	regulation of DNA replication
      1 GO:0006284	base-excision repair
      1 GO:0006285	base-excision repair, AP site formation
      1 GO:0006298	mismatch repair
      1 GO:0006301	postreplication repair
      1 GO:0006304	DNA modification
      1 GO:0006307	DNA dealkylation involved in DNA repair
      1 GO:0006351	transcription, DNA-templated
      1 GO:0006390	mitochondrial transcription
      1 GO:0006397	mRNA processing
      1 GO:0006406	mRNA export from nucleus
      1 GO:0006448	regulation of translational elongation
      1 GO:0006451	translational readthrough
      1 GO:0006479	protein methylation
      1 GO:0006497	protein lipidation
      1 GO:0006513	protein monoubiquitination
      1 GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
      1 GO:0006525	arginine metabolic process
      1 GO:0006526	arginine biosynthetic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006534	cysteine metabolic process
      1 GO:0006553	lysine metabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006563	L-serine metabolic process
      1 GO:0006564	L-serine biosynthetic process
      1 GO:0006566	threonine metabolic process
      1 GO:0006568	tryptophan metabolic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006572	tyrosine catabolic process
      1 GO:0006576	cellular biogenic amine metabolic process
      1 GO:0006586	indolalkylamine metabolic process
      1 GO:0006590	thyroid hormone generation
      1 GO:0006638	neutral lipid metabolic process
      1 GO:0006639	acylglycerol metabolic process
      1 GO:0006641	triglyceride metabolic process
      1 GO:0006644	phospholipid metabolic process
      1 GO:0006650	glycerophospholipid metabolic process
      1 GO:0006658	phosphatidylserine metabolic process
      1 GO:0006702	androgen biosynthetic process
      1 GO:0006750	glutathione biosynthetic process
      1 GO:0006768	biotin metabolic process
      1 GO:0006797	polyphosphate metabolic process
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006844	acyl carnitine transport
      1 GO:0006855	drug transmembrane transport
      1 GO:0006862	nucleotide transport
      1 GO:0006864	pyrimidine nucleotide transport
      1 GO:0006865	amino acid transport
      1 GO:0006887	exocytosis
      1 GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
      1 GO:0006891	intra-Golgi vesicle-mediated transport
      1 GO:0006893	Golgi to plasma membrane transport
      1 GO:0006896	Golgi to vacuole transport
      1 GO:0006903	vesicle targeting
      1 GO:0006904	vesicle docking involved in exocytosis
      1 GO:0006906	vesicle fusion
      1 GO:0006915	apoptotic process
      1 GO:0006928	movement of cell or subcellular component
      1 GO:0006959	humoral immune response
      1 GO:0006972	hyperosmotic response
      1 GO:0006984	ER-nucleus signaling pathway
      1 GO:0006986	response to unfolded protein
